docid,language,num_cells,num_code_cells,num_md_cells,len_md_text
NB_a58f98ea7658a7386d8021f9781e0bd5431adfd69101ace1dbbc9cfb4e820ca5,python,7,6,1,1
NB_a56fd30bb7793736f9a87a64d507822f2300e791c265314d0300fc3856661a84,python,5,5,0,0
NB_bf23c6e09dc4f7e69bb8fb7f809b07160dab151d30e35c05cd7b4eec53f40307,python,82,52,30,92
NB_ef2dec236a04f000713250b3cee91858daec00c7997cfb4498f2a4c4a9fb4a19,others,52,20,32,179
NB_53694682585e6373485e365d30fce8eb41ee2e4070c5468461e1f14f302a543b,python,45,30,15,28
NB_d124f3b1999f18296bc69e2ef43d2459e3a811c36b7e3caea58709360c49f97c,python,20,19,1,1
NB_4a430b42a9096162e8c60300da5a88f42e17877ecdb9d01bfd5f1cac1723c4a6,python,13,13,0,0
NB_7c624bda15162d9271f7d44f4ef966a43537ffb4f7798dc6059b65b1b04c8b37,python,7,7,0,0
NB_9eaa421a7af46af2d69e5d09e380e7766885fec473fdae951a9aa86dc1b30f9b,python,6,6,0,0
NB_17d92999e456f98ebc2be5cc2afa0858daccb1d77263fac3e03b4fc3aa04d850,python,18,12,6,17
NB_d93de7c76aef5dee8e795887830a48da35fdf476b2817bae3a54cc991c255d22,python,517,399,118,125
NB_03788267b0b963df657db74135219a71e19db93f116cad4146baebdc7cc33170,others,78,45,33,37
NB_727af7a7fdef98e1f8b9175035f5a929b22141671fb7e0a9b7767cb68f4acb05,python,39,34,5,5
NB_c24a1180679512399bac0a1424921b3e80f6a0dfab7b2983734ed1df75592f86,python,27,27,0,0
NB_6d9b226936a228c8a497daa1da91333f8197a7e6dc715ed919592d6186855d39,python,24,24,0,0
NB_8067d0f615de052caf254fa110a35d21373602793db947878a4512408c3edbaa,python,21,17,4,4
NB_cd8956c66698794c6b508b3f637e4fe9aeb628abd3eeac11f628e369932bb3e6,python,10,10,0,0
NB_963a37827d136177daabd5ae6ff3fdf4bd3779ae0ee4f16eeb184dd97b795af1,python,18,8,10,133
NB_6659e12c6e4f8a91c742364b7f442baee2c389d315625d9c45dfce32e519d7f6,python,39,30,9,29
NB_6e3e6b7260bd2a411fff1526313f3ba221b08409dde862f998e95276b0201383,python,21,21,0,0
NB_2aa01bd85074ccfe6088872fbe5d759778accf15da49dd4571cf48e938aad45f,python,33,19,14,35
NB_81971bd06c6b55b2eca86030d501e0122ae924ee0bf8e96089afdd33a9866fc6,python,23,10,13,98
NB_f4e7624079392cb04dedbc0f46ddf3d8e7c6f67340c19634b5d5405cbfeb1b9c,python,25,25,0,0
NB_33ad3ac0d370e17b3cc2aac342a204cfbf60549d3ddc0fcc563c50050fd48116,python,16,8,8,8
NB_7c1503bd03b2a79e16bc1320ce6bdd87a241fb29a79d32214a9686a4b214d075,python,10,10,0,0
NB_2332448fcdaf892fb298bc2e4d475e15c1a50c1fead88b8945b988fbdbb7db42,python,63,63,0,0
NB_5b2228c18c94451606bbd5825887a3e2134080cfadbb5d51d1f13d2bcbaacac2,python,20,14,6,6
NB_849f2879b8684015a27b4cb49d6299b6fe889cc46ef70a6bd5bbe46d43c5ac26,python,39,32,7,9
NB_cef9424827a66b15a232440429d8ba6204a4e7f368e56b1939fe87c9d1d71087,python,49,36,13,13
NB_d75495d82bf336554da4fa199a238ae5708c9422904108c79715d54359dac6d9,python,26,13,13,128
NB_71dea325e49711450f800f08e09064ace38d86c6ebeda7fd5b3620860fd5fcbf,python,16,9,7,30
NB_5383a1c959a25ac892c7930d7de4cbb5d7b1c598dfb4066a92c596902c540134,python,4,4,0,0
